Segment,Country,Product, Discount Band ,Units Sold,Manufacturing Price,Sale Price,XXXGross Sales,Discounts,XXXSales,COGS,XXXProfit,Date,Month Number,Month,Year,Sales,Profit,Gross Sales
Government,Canada, Carretera , None ,1618.5, $3.00 , $20.00 ," $32,370.00 ", $-   ," $32,370.00 "," $16,185.00 "," $16,185.00 ",01-01-2014,1, January ,2014,$10000,$4000,$12000
Government,Germany, Carretera , None ,1321, $3.00 , $20.00 ," $26,420.00 ", $-   ," $26,420.00 "," $13,210.00 "," $13,210.00 ",01-01-2014,1, January ,2014,$10001,$4001,$12001
Midmarket,France, Carretera , None ,2178, $3.00 , $15.00 ," $32,670.00 ", $-   ," $32,670.00 "," $21,780.00 "," $10,890.00 ",01-06-2014,6, June ,2014,$10002,$4002,$12002
Midmarket,Germany, Carretera , None ,888, $3.00 , $15.00 ," $13,320.00 ", $-   ," $13,320.00 "," $8,880.00 "," $4,440.00 ",01-06-2014,6, June ,2014,$10003,$4003,$12003
Midmarket,Mexico, Carretera , None ,2470, $3.00 , $15.00 ," $37,050.00 ", $-   ," $37,050.00 "," $24,700.00 "," $12,350.00 ",01-06-2014,6, June ,2014,$10004,$4004,$12004
Midmarket,Germany, Montana , None ,921, $5.00 , $15.00 ," $13,815.00 ", $-   ," $13,815.00 "," $9,210.00 "," $4,605.00 ",01-03-2014,3, March ,2014,$10006,$4006,$12006
Enterprise,Canada, Montana , None ,2665.5, $5.00 , $125.00 ," $3,33,187.50 ", $-   ," $3,33,187.50 "," $3,19,860.00 "," $13,327.50 ",01-07-2014,7, July ,2014,$10011,$4011,$12011
Small Business,Mexico, Montana , None ,958, $5.00 , $300.00 ," $2,87,400.00 ", $-   ," $2,87,400.00 "," $2,39,500.00 "," $47,900.00 ",01-08-2014,8, August ,2014,$10012,$4012,$12012
Government,Germany, Montana , None ,2146, $5.00 , $7.00 ," $15,022.00 ", $-   ," $15,022.00 "," $10,730.00 "," $4,292.00 ",01-09-2014,9, September ,2014,$10013,$4013,$12013
Government,Canada, Paseo , None ,292, $10.00 , $20.00 ," $5,840.00 ", $-   ," $5,840.00 "," $2,920.00 "," $2,920.00 ",01-02-2014,2, February ,2014,$10016,$4016,$12016
Midmarket,Mexico, Paseo , None ,974, $10.00 , $15.00 ," $14,610.00 ", $-   ," $14,610.00 "," $9,740.00 "," $4,870.00 ",01-02-2014,2, February ,2014,$10017,$4017,$12017
Channel Partners,Germany, Paseo , None ,367, $10.00 , $12.00 ," $4,404.00 ", $-   ," $4,404.00 "," $1,101.00 "," $3,303.00 ",01-07-2014,7, July ,2014,$10020,$4020,$12020
Government,Mexico, Paseo , None ,883, $10.00 , $7.00 ," $6,181.00 ", $-   ," $6,181.00 "," $4,415.00 "," $1,766.00 ",01-08-2014,8, August ,2014,$10021,$4021,$12021
Midmarket,France, Paseo , None ,549, $10.00 , $15.00 ," $8,235.00 ", $-   ," $8,235.00 "," $5,490.00 "," $2,745.00 ",01-09-2013,9, September ,2013,$10022,$4022,$12022
Small Business,Mexico, Paseo , None ,788, $10.00 , $300.00 ," $2,36,400.00 ", $-   ," $2,36,400.00 "," $1,97,000.00 "," $39,400.00 ",01-09-2013,9, September ,2013,$10023,$4023,$12023
Midmarket,Mexico, Paseo , None ,2472, $10.00 , $15.00 ," $37,080.00 ", $-   ," $37,080.00 "," $24,720.00 "," $12,360.00 ",01-09-2014,9, September ,2014,$10024,$4024,$12024
Government,Canada, Paseo , None ,1725, $10.00 , $350.00 ," $6,03,750.00 ", $-   ," $6,03,750.00 "," $4,48,500.00 "," $1,55,250.00 ",01-11-2013,11, November ,2013,$10026,$4026,$12026
Channel Partners,United States of America, Paseo , None ,912, $10.00 , $12.00 ," $10,944.00 ", $-   ," $10,944.00 "," $2,736.00 "," $8,208.00 ",01-11-2013,11, November ,2013,$10027,$4027,$12027
Midmarket,Canada, Paseo , None ,2152, $10.00 , $15.00 ," $32,280.00 ", $-   ," $32,280.00 "," $21,520.00 "," $10,760.00 ",01-12-2013,12, December ,2013,$10028,$4028,$12028
Government,Canada, Paseo , None ,1817, $10.00 , $20.00 ," $36,340.00 ", $-   ," $36,340.00 "," $18,170.00 "," $18,170.00 ",01-12-2014,12, December ,2014,$10029,$4029,$12029
Government,Germany, Paseo , None ,1513, $10.00 , $350.00 ," $5,29,550.00 ", $-   ," $5,29,550.00 "," $3,93,380.00 "," $1,36,170.00 ",01-12-2014,12, December ,2014,$10030,$4030,$12030
Government,Mexico, Velo , None ,1493, $120.00 , $7.00 ," $10,451.00 ", $-   ," $10,451.00 "," $7,465.00 "," $2,986.00 ",01-01-2014,1, January ,2014,$10031,$4031,$12031
Enterprise,France, Velo , None ,1804, $120.00 , $125.00 ," $2,25,500.00 ", $-   ," $2,25,500.00 "," $2,16,480.00 "," $9,020.00 ",01-02-2014,2, February ,2014,$10032,$4032,$12032
Channel Partners,Germany, Velo , None ,2161, $120.00 , $12.00 ," $25,932.00 ", $-   ," $25,932.00 "," $6,483.00 "," $19,449.00 ",01-03-2014,3, March ,2014,$10033,$4033,$12033
Government,Germany, Velo , None ,1006, $120.00 , $350.00 ," $3,52,100.00 ", $-   ," $3,52,100.00 "," $2,61,560.00 "," $90,540.00 ",01-06-2014,6, June ,2014,$10034,$4034,$12034
Channel Partners,Germany, Velo , None ,1545, $120.00 , $12.00 ," $18,540.00 ", $-   ," $18,540.00 "," $4,635.00 "," $13,905.00 ",01-06-2014,6, June ,2014,$10035,$4035,$12035
Enterprise,United States of America, Velo , None ,2821, $120.00 , $125.00 ," $3,52,625.00 ", $-   ," $3,52,625.00 "," $3,38,520.00 "," $14,105.00 ",01-08-2014,8, August ,2014,$10036,$4036,$12036
Enterprise,Canada, Velo , None ,345, $120.00 , $125.00 ," $43,125.00 ", $-   ," $43,125.00 "," $41,400.00 "," $1,725.00 ",01-10-2013,10, October ,2013,$10037,$4037,$12037
Small Business,Canada, VTT , None ,2001, $250.00 , $300.00 ," $6,00,300.00 ", $-   ," $6,00,300.00 "," $5,00,250.00 "," $1,00,050.00 ",01-02-2014,2, February ,2014,$10038,$4038,$12038
Channel Partners,Germany, VTT , None ,2838, $250.00 , $12.00 ," $34,056.00 ", $-   ," $34,056.00 "," $8,514.00 "," $25,542.00 ",01-04-2014,4, April ,2014,$10039,$4039,$12039
Midmarket,France, VTT , None ,2178, $250.00 , $15.00 ," $32,670.00 ", $-   ," $32,670.00 "," $21,780.00 "," $10,890.00 ",01-06-2014,6, June ,2014,$10040,$4040,$12040
Midmarket,Germany, VTT , None ,888, $250.00 , $15.00 ," $13,320.00 ", $-   ," $13,320.00 "," $8,880.00 "," $4,440.00 ",01-06-2014,6, June ,2014,$10041,$4041,$12041
Government,France, VTT , None ,1527, $250.00 , $350.00 ," $5,34,450.00 ", $-   ," $5,34,450.00 "," $3,97,020.00 "," $1,37,430.00 ",01-09-2013,9, September ,2013,$10042,$4042,$12042
Small Business,France, VTT , None ,2151, $250.00 , $300.00 ," $6,45,300.00 ", $-   ," $6,45,300.00 "," $5,37,750.00 "," $1,07,550.00 ",01-09-2014,9, September ,2014,$10043,$4043,$12043
